Animal_ID,Species,Breed,Age_Years,Parity,Days_In_Milk,Past_Mastitis_Episodes,Mean_EC,Milk_pH,Milk_Temperature_C,Milk_Yield_Liters,Somatic_Cell_Count_Actual,Risk_Tier_Label,Risk_Tier_Code
IN-DAIRY-1232,Cattle,HF_Cross,9,2,234,0,4.832,6.617,38.59,14.43,68020,No Risk,0
IN-DAIRY-1233,Buffalo,Murrah_Buffalo,3,5,175,2,4.821,6.578,38.46,14.93,58816,No Risk,0
IN-DAIRY-1234,Cattle,HF_Cross,4,1,142,0,4.832,6.607,38.31,16.97,125239,No Risk,0
IN-DAIRY-1235,Buffalo,Murrah_Buffalo,8,3,67,2,4.903,6.588,38.59,10.53,49864,No Risk,0
IN-DAIRY-1236,Cattle,HF_Cross,4,2,209,0,4.927,6.596,38.78,20.38,52212,No Risk,0
IN-DAIRY-1237,Cattle,HF_Cross,8,3,181,0,4.799,6.656,38.68,17.34,59849,No Risk,0
IN-DAIRY-1238,Cattle,Gir,6,4,178,0,5.498,7.008,39.73,9.83,597125,Moderate Risk,2
IN-DAIRY-1239,Cattle,Jersey_Cross,9,5,204,1,4.79,6.658,38.71,15.1,69418,No Risk,0
IN-DAIRY-1240,Cattle,Gir,3,4,147,0,4.757,6.675,38.78,12.44,58168,No Risk,0
IN-DAIRY-1241,Cattle,HF_Cross,5,5,163,1,5.321,6.882,39.47,13.76,536804,Moderate Risk,2
IN-DAIRY-1242,Cattle,Jersey_Cross,8,2,148,1,4.896,6.615,38.51,11.88,89299,No Risk,0
IN-DAIRY-1243,Cattle,Sahiwal,7,5,90,2,4.793,6.692,38.89,9.47,39233,No Risk,0
IN-DAIRY-1244,Cattle,HF_Cross,7,5,72,2,4.95,6.597,38.79,15.7,52189,No Risk,0
IN-DAIRY-1245,Buffalo,Murrah_Buffalo,3,1,204,1,4.99,6.647,38.78,9.1,52381,No Risk,0
IN-DAIRY-1246,Cattle,Gir,6,1,192,1,4.952,6.598,38.58,7.74,97983,No Risk,0
IN-DAIRY-1247,Cattle,HF_Cross,5,3,181,0,4.966,6.58,38.51,12.92,37200,No Risk,0
IN-DAIRY-1248,Cattle,HF_Cross,3,5,151,1,5.097,6.9,39.8,16.68,723827,Moderate Risk,2
IN-DAIRY-1249,Cattle,HF_Cross,6,4,147,2,5.056,6.662,38.71,19.91,282233,Low Risk,1
